Molecule_ChEMBL_IDs,Class,BCUTc-1l,BCUTi-1h,BCUTv-1h,PEOE_VSA2,BCUTi-1l,BCUTZ-1h,BCUTs-1l,SlogP_VSA5,Xch-6dv,BCUTd-1h,BCUTZ-1l,SMR_VSA3,Xc-5d,BCUTs-1h,BCUTp-1l,BCUTpe-1l,EState_VSA1,EState_VSA6,piPC9,BCUTdv-1l,BCUTare-1l,Xch-7dv,Xch-6d,ATSC1i
CHEMBL3218067,1,-0.426330136,14.56141817,20.91725003,4.794537184,10.93708141,8.022033658,1.330229939,47.67109373,0.207772941,3.269843066,5.676148311,14.53505669,0.473755876,7.008273231,0.751864024,2.22538675,0.0,0.0,7.67156841,0.987933825,2.175577586,0.26211143,0.68406628,-2.460592484
CHEMBL574585,1,-0.363492821,14.56011558,20.89141008,14.99835797,10.95526986,8.023316745,1.124629392,68.44835697,0.315852296,4.025026745,5.694858573,25.91832285,0.501024148,7.009364212,0.751051256,2.244735908,12.08368166,0.0,6.345965254,1.85569002,2.194765607,0.689226079,0.489139048,5.999225053
CHEMBL3234398,1,-0.485733826,13.64320733,22.45819965,0.0,10.94542371,17.00314881,1.278334713,48.1740093,0.033667196,3.317667937,5.686208343,0.0,0.886893446,7.008274487,0.741336551,2.231119437,5.969305288,0.0,7.489674067,0.773076312,2.179841716,0.128885931,0.082397958,2.197521107
CHEMBL3234400,1,-0.524943266,13.64327496,22.45936902,0.0,10.94542057,17.00417202,1.277755141,48.1740093,0.03125,3.322527872,5.686208029,0.0,0.974027117,7.008274095,0.741335085,2.231090917,5.969305288,0.0,7.610759964,0.773071026,2.179808605,0.13848949,0.074074074,-3.331811372
CHEMBL3234396,1,-0.485752358,13.64320645,22.45820013,0.0,10.94542301,17.00314881,1.278329009,48.1740093,0.033667196,3.317583929,5.686208142,0.0,0.886893446,7.008274487,0.741338345,2.23111387,5.969305288,0.0,7.49406516,0.773076302,2.179835996,0.128885931,0.082397958,2.197521107
CHEMBL3218056,1,-0.42605974,14.56108284,20.90052576,4.794537184,10.94911817,8.022028005,1.23469913,73.83276956,0.174118788,3.279769761,5.688629783,9.551078169,0.365376409,7.008271755,0.751867626,2.237590704,0.0,0.0,7.297934886,0.987934837,2.187997797,0.217587797,0.469747501,-3.969113335
CHEMBL4171660,1,-0.364478139,14.54262006,20.88283685,9.589074368,11.00238301,8.024730093,1.074085709,189.2213205,0.730327772,4.037566773,5.742014189,15.95036581,2.677505943,7.009385495,0.751241748,2.291518302,12.20793278,0.0,6.513230111,0.993033229,2.241608111,1.788720715,0.730327772,20.39009289
CHEMBL5185601,1,-0.529232522,13.65178182,20.91712289,4.794537184,10.94663936,8.037813897,1.093700327,103.4154459,0.225203857,4.116860938,5.686105995,0.0,2.693830857,7.011592576,0.740374802,2.234430594,111.9359448,45.90370304,7.445472316,0.993035652,2.18473184,0.606015633,0.494922096,0.624228201
CHEMBL477929,1,-0.378333039,13.63804145,20.8775773,4.794537184,10.97854779,8.023294191,1.061275799,79.56443736,0.160739085,4.04854013,5.718106648,0.0,1.627351203,7.009906822,0.752675466,2.267037377,17.4368629,0.0,6.139884552,0.992023206,2.217237155,0.683765998,0.174830916,8.422952061
CHEMBL1784381,1,-0.408100353,14.55826139,20.89540356,67.12352058,10.95442786,8.041791568,1.193903071,115.8403311,0.032075015,3.241424536,5.694103896,71.93376722,3.15851786,7.022633143,0.750846347,2.244066541,229.221252,113.4166817,6.056051895,0.987144994,2.194075331,0.022680461,0.102062073,-81.72473404
